,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
126,PAYTM,PAYTM,1716481,874.5,PAYTM25MAYFUT,14716418,876.0,0.0,0.0,PAYTM25JUNFUT,14612482,881.05,0.0,0.0,PAYTM25JULFUT,13672450,885.35,0.0,0.0,0.0,0.0
127,PERSISTENT,PERSISTENT,4701441,5259.0,PERSISTENT25MAYFUT,14716930,5271.5,0.0,0.0,PERSISTENT25JUNFUT,14612994,5297.0,0.0,0.0,PERSISTENT25JULFUT,13673730,5325.0,0.0,0.0,0.0,0.0
128,PETRONET,PETRONET,2905857,309.0,PETRONET25MAYFUT,14717186,308.95,0.0,0.0,PETRONET25JUNFUT,14613250,311.75,0.0,0.0,PETRONET25JULFUT,13673986,311.4,0.0,0.0,0.0,0.0
129,PFC,PFC,3660545,412.0,PFC25MAYFUT,14717954,413.5,0.0,0.0,PFC25JUNFUT,14613506,415.15,0.0,0.0,PFC25JULFUT,13674242,417.65,0.0,0.0,0.0,0.0
130,PHOENIXLTD,PHOENIXLTD,3725313,1623.8,PHOENIXLTD25MAYFUT,14718210,1623.3,0.0,0.0,PHOENIXLTD25JUNFUT,14613762,1634.5,0.0,0.0,PHOENIXLTD25JULFUT,13674498,0.0,0.0,0.0,0.0,0.0
131,PIDILITIND,PIDILITIND,681985,3006.0,PIDILITIND25MAYFUT,14718466,3017.5,0.0,0.0,PIDILITIND25JUNFUT,14614018,3031.5,0.0,0.0,PIDILITIND25JULFUT,13675010,3092.0,0.0,0.0,0.0,0.0
132,PIIND,PIIND,6191105,3585.0,PIIND25MAYFUT,14718722,3593.6,0.0,0.0,PIIND25JUNFUT,14614274,3615.0,0.0,0.0,PIIND25JULFUT,13675266,0.0,0.0,0.0,0.0,0.0
133,PNB,PNB,2730497,98.99,PNB25MAYFUT,14718978,99.2,0.0,0.0,PNB25JUNFUT,14614530,99.24,0.0,0.0,PNB25JULFUT,13675522,100.0,0.0,0.0,0.0,0.0
134,POLICYBZR,POLICYBZR,1703937,1593.5,POLICYBZR25MAYFUT,14719234,1598.4,0.0,0.0,POLICYBZR25JUNFUT,14615554,1603.8,0.0,0.0,POLICYBZR25JULFUT,13676034,0.0,0.0,0.0,0.0,0.0
135,POLYCAB,POLYCAB,2455041,5483.5,POLYCAB25MAYFUT,14719490,5503.0,0.0,0.0,POLYCAB25JUNFUT,14615810,5523.0,0.0,0.0,POLYCAB25JULFUT,13676290,5538.0,0.0,0.0,0.0,0.0
136,POWERGRID,POWERGRID,3834113,305.3,POWERGRID25MAYFUT,14720514,307.6,0.0,0.0,POWERGRID25JUNFUT,14616322,309.1,0.0,0.0,POWERGRID25JULFUT,13676802,313.65,0.0,0.0,0.0,0.0
137,PRESTIGE,PRESTIGE,5197313,1261.8,PRESTIGE25MAYFUT,14720770,1260.7,0.0,0.0,PRESTIGE25JUNFUT,14617602,1269.4,0.0,0.0,PRESTIGE25JULFUT,13677058,1280.0,0.0,0.0,0.0,0.0
