symbol,listing_date,entry_num,status,entry_date,entry_price,stop_price,exit_date,exit_price,return_pct,days_to_entry,days_held,last_date,last_price
TRACXN,2022-10-20,1.0,stop_hit,2022-10-20,93.25,83.92,2022-10-25,83.92,-10.0,0.0,5.0,,
DCXINDIA,2022-11-11,1.0,stop_hit,2022-11-11,308.45,277.61,2022-11-15,277.61,-10.0,0.0,4.0,,
FUSION,2022-11-15,1.0,survived_positive,2022-11-15,324.8,,2023-11-15,597.15,83.85,0.0,365.0,,
BIKAJI,2022-11-16,1.0,survived_positive,2022-11-23,344.75,,2023-11-16,549.1,59.27,7.0,358.0,,
MEDANTA,2022-11-16,1.0,survived_positive,2022-11-23,450.9,,2023-11-16,888.5,97.05,7.0,358.0,,
ACI,2022-11-21,1.0,survived_positive,2022-11-24,502.4,,2023-11-21,525.05,4.51,3.0,362.0,,
FIVESTAR,2022-11-21,1.0,survived_positive,2022-11-21,490.0,,2023-11-21,803.6,64.0,0.0,365.0,,
KAYNES,2022-11-22,1.0,survived_positive,2022-11-22,689.95,,2023-11-22,2491.15,261.06,0.0,365.0,,
INOXGREEN,2022-11-23,1.0,stop_hit,2022-12-26,44.9,40.41,2023-03-20,40.41,-10.0,33.0,84.0,,
RUSTOMJEE,2022-11-24,1.0,stop_hit,2022-12-27,525.5,472.95,2023-02-03,472.95,-10.0,33.0,38.0,,
DHARMAJ,2022-12-08,1.0,stop_hit,2022-12-21,216.35,194.72,2022-12-23,194.72,-10.0,13.0,2.0,,
UNIPARTS,2022-12-12,1.0,stop_hit,2022-12-14,576.15,518.54,2023-03-13,518.54,-10.0,2.0,89.0,,
SULA,2022-12-22,1.0,survived_positive,2022-12-22,331.2,,2023-12-22,470.6,42.09,0.0,365.0,,
LANDMARK,2022-12-23,1.0,survived_positive,2022-12-27,474.75,,2023-12-26,787.0,65.77,4.0,364.0,,
AHL,2022-12-23,,no_data,,,,,,,,,,
KFINTECH,2022-12-29,1.0,stop_hit,2023-02-10,318.9,287.01,2023-03-16,287.01,-10.0,43.0,34.0,,
ELIN,2022-12-30,1.0,stop_hit,2023-01-16,231.7,208.53,2023-01-27,208.53,-10.0,17.0,11.0,,
RADIANTCMS,2023-01-04,1.0,stop_hit,2023-01-04,104.9,94.41,2023-01-20,94.41,-10.0,0.0,16.0,,
SAH,2023-01-12,,no_data,,,,,,,,,,
DIVGIITTS,2023-03-14,1.0,survived_positive,2023-03-14,605.2,,2024-03-14,717.55,18.56,0.0,366.0,,
GSLSU,2023-03-23,1.0,stop_hit,2023-03-23,171.05,153.95,2023-03-28,153.95,-10.0,0.0,5.0,,
USK,2023-04-03,1.0,stop_hit,2023-04-05,33.05,29.74,2023-04-17,29.74,-10.0,2.0,12.0,,
AVALON,2023-04-18,1.0,stop_hit,2023-04-18,398.0,358.2,2023-05-08,358.2,-10.0,0.0,20.0,,
MANKIND,2023-05-09,1.0,stop_hit,2023-05-12,1394.45,1255.0,2023-05-22,1255.0,-10.0,3.0,10.0,,
IKIO,2023-06-16,1.0,stop_hit,2023-06-19,445.45,400.91,2023-08-09,400.91,-10.0,3.0,51.0,,
HMAAGRO,2023-07-04,1.0,stop_hit,2023-07-04,58.56,52.71,2024-03-12,52.71,-10.0,0.0,252.0,,
IDEAFORGE,2023-07-07,1.0,stop_hit,2023-07-10,1162.4,1046.16,2023-08-09,1046.16,-10.0,3.0,30.0,,
CYIENTDLM,2023-07-10,1.0,survived_positive,2023-07-11,493.2,,2024-07-10,750.3,52.13,1.0,365.0,,
SENCO,2023-07-14,1.0,stop_hit,2023-07-14,202.65,182.38,2023-07-20,182.38,-10.0,0.0,6.0,,
UTKARSHBNK,2023-07-21,1.0,survived_positive,2023-07-21,48.0,,2024-07-22,49.52,3.17,0.0,367.0,,
NETWEB,2023-07-27,1.0,stop_hit,2023-08-24,887.5,798.75,2023-09-26,798.75,-10.0,28.0,33.0,,
YATHARTH,2023-08-07,1.0,survived_positive,2023-08-07,333.85,,2024-08-07,441.85,32.35,0.0,366.0,,
SBFC,2023-08-16,1.0,stop_hit,2023-08-16,92.2,82.98,2023-09-26,82.98,-10.0,0.0,41.0,,
CONCORDBIO,2023-08-18,1.0,survived_positive,2023-08-22,993.8,,2024-08-19,1642.05,65.23,4.0,363.0,,
TVSSCS,2023-08-23,1.0,stop_hit,2023-09-07,221.3,199.17,2023-12-20,199.17,-10.0,15.0,104.0,,
